Model,Input,Feature,Metric,Baseline PR-AUC,Importance,Importance Std,Permuted PR-AUC,Repeats,Samples,Rank
CNN-LSTM (ours),scaled sequence variables,tmmn,PR-AUC,0.9843,0.2284,0.0248,0.756,3,471,1
CNN-LSTM (ours),scaled sequence variables,fm1000,PR-AUC,0.9843,0.2024,0.0386,0.7819,3,471,2
CNN-LSTM (ours),scaled sequence variables,erc,PR-AUC,0.9843,0.1028,0.0119,0.8815,3,471,3
CNN-LSTM (ours),scaled sequence variables,rmin,PR-AUC,0.9843,0.0608,0.0034,0.9235,3,471,4
CNN-LSTM (ours),scaled sequence variables,tmmx,PR-AUC,0.9843,0.0181,0.0037,0.9663,3,471,5
CNN-LSTM (ours),scaled sequence variables,vs,PR-AUC,0.9843,0.013,0.0007,0.9713,3,471,6
CNN-LSTM (ours),scaled sequence variables,srad,PR-AUC,0.9843,0.0123,0.0006,0.9721,3,471,7
CNN-LSTM (ours),scaled sequence variables,pr,PR-AUC,0.9843,0.0074,0.0042,0.9769,3,471,8
CNN-LSTM (ours),scaled sequence variables,bi,PR-AUC,0.9843,0.0067,0.002,0.9776,3,471,9
CNN-LSTM (ours),scaled sequence variables,rmax,PR-AUC,0.9843,0.0052,0.002,0.9792,3,471,10
CNN-LSTM (ours),scaled sequence variables,fm100,PR-AUC,0.9843,0.0049,0.0009,0.9794,3,471,11
CNN-LSTM (ours),scaled sequence variables,sph,PR-AUC,0.9843,0.0023,0.0006,0.9821,3,471,12
CNN-LSTM (ours),scaled sequence variables,pet,PR-AUC,0.9843,0.002,0.0003,0.9823,3,471,13
CNN-LSTM (ours),scaled sequence variables,vpd,PR-AUC,0.9843,0.0017,0.001,0.9826,3,471,14
CNN-LSTM (ours),scaled sequence variables,etr,PR-AUC,0.9843,-0.0007,0.0013,0.985,3,471,15
XGBoost*,raw sequence variables,erc,PR-AUC,0.9837,0.0122,0.0012,0.9714,3,471,1
XGBoost*,raw sequence variables,tmmn,PR-AUC,0.9837,0.0099,0.0008,0.9737,3,471,2
XGBoost*,raw sequence variables,vs,PR-AUC,0.9837,0.0059,0.0013,0.9777,3,471,3
XGBoost*,raw sequence variables,fm1000,PR-AUC,0.9837,0.0045,0.0009,0.9792,3,471,4
XGBoost*,raw sequence variables,pr,PR-AUC,0.9837,0.003,0.0018,0.9806,3,471,5
XGBoost*,raw sequence variables,srad,PR-AUC,0.9837,0.0025,0.0003,0.9812,3,471,6
XGBoost*,raw sequence variables,tmmx,PR-AUC,0.9837,0.0015,0.0016,0.9822,3,471,7
XGBoost*,raw sequence variables,pet,PR-AUC,0.9837,0.0005,0.0003,0.9831,3,471,8
XGBoost*,raw sequence variables,vpd,PR-AUC,0.9837,0.0005,0.002,0.9832,3,471,9
XGBoost*,raw sequence variables,bi,PR-AUC,0.9837,0.0004,0.0007,0.9833,3,471,10
XGBoost*,raw sequence variables,sph,PR-AUC,0.9837,-0.0002,0.0003,0.9839,3,471,11
XGBoost*,raw sequence variables,fm100,PR-AUC,0.9837,-0.0002,0.0001,0.9839,3,471,12
XGBoost*,raw sequence variables,etr,PR-AUC,0.9837,-0.0005,0.0002,0.9842,3,471,13
XGBoost*,raw sequence variables,rmin,PR-AUC,0.9837,-0.0007,0.0013,0.9844,3,471,14
XGBoost*,raw sequence variables,rmax,PR-AUC,0.9837,-0.0022,0.0006,0.9859,3,471,15
Gradient Boosting*,raw sequence variables,erc,PR-AUC,0.9857,0.015,0.0011,0.9708,3,471,1
Gradient Boosting*,raw sequence variables,vs,PR-AUC,0.9857,0.0088,0.0014,0.9769,3,471,2
Gradient Boosting*,raw sequence variables,tmmn,PR-AUC,0.9857,0.0045,0.0005,0.9812,3,471,3
Gradient Boosting*,raw sequence variables,srad,PR-AUC,0.9857,0.0019,0.0003,0.9838,3,471,4
Gradient Boosting*,raw sequence variables,fm1000,PR-AUC,0.9857,0.0017,0.0006,0.984,3,471,5
Gradient Boosting*,raw sequence variables,pr,PR-AUC,0.9857,0.0013,0.0008,0.9844,3,471,6
Gradient Boosting*,raw sequence variables,rmin,PR-AUC,0.9857,0.001,0.0003,0.9848,3,471,7
Gradient Boosting*,raw sequence variables,pet,PR-AUC,0.9857,0.0006,0.0004,0.9851,3,471,8
Gradient Boosting*,raw sequence variables,tmmx,PR-AUC,0.9857,0.0003,0.0013,0.9854,3,471,9
Gradient Boosting*,raw sequence variables,bi,PR-AUC,0.9857,0.0002,0.0007,0.9855,3,471,10
Gradient Boosting*,raw sequence variables,sph,PR-AUC,0.9857,0.0001,0.0001,0.9857,3,471,11
Gradient Boosting*,raw sequence variables,vpd,PR-AUC,0.9857,-0.0,0.0013,0.9858,3,471,12
Gradient Boosting*,raw sequence variables,fm100,PR-AUC,0.9857,-0.0,0.0002,0.9858,3,471,13
Gradient Boosting*,raw sequence variables,rmax,PR-AUC,0.9857,-0.0002,0.0002,0.9859,3,471,14
Gradient Boosting*,raw sequence variables,etr,PR-AUC,0.9857,-0.0003,0.0002,0.9861,3,471,15
Random Forest*,raw sequence variables,fm1000,PR-AUC,0.9808,0.0199,0.0023,0.961,3,471,1
Random Forest*,raw sequence variables,tmmx,PR-AUC,0.9808,0.0119,0.0037,0.9689,3,471,2
Random Forest*,raw sequence variables,tmmn,PR-AUC,0.9808,0.006,0.0009,0.9749,3,471,3
Random Forest*,raw sequence variables,vpd,PR-AUC,0.9808,0.0054,0.0023,0.9754,3,471,4
Random Forest*,raw sequence variables,etr,PR-AUC,0.9808,0.0045,0.0008,0.9763,3,471,5
Random Forest*,raw sequence variables,srad,PR-AUC,0.9808,0.0045,0.0006,0.9764,3,471,6
Random Forest*,raw sequence variables,pet,PR-AUC,0.9808,0.0036,0.0013,0.9772,3,471,7
Random Forest*,raw sequence variables,bi,PR-AUC,0.9808,0.0034,0.0007,0.9774,3,471,8
Random Forest*,raw sequence variables,erc,PR-AUC,0.9808,0.0027,0.0013,0.9781,3,471,9
Random Forest*,raw sequence variables,pr,PR-AUC,0.9808,0.0023,0.001,0.9786,3,471,10
Random Forest*,raw sequence variables,sph,PR-AUC,0.9808,0.0019,0.0004,0.9789,3,471,11
Random Forest*,raw sequence variables,fm100,PR-AUC,0.9808,0.0,0.0021,0.9808,3,471,12
Random Forest*,raw sequence variables,vs,PR-AUC,0.9808,-0.0006,0.0007,0.9814,3,471,13
Random Forest*,raw sequence variables,rmin,PR-AUC,0.9808,-0.0009,0.0028,0.9817,3,471,14
Random Forest*,raw sequence variables,rmax,PR-AUC,0.9808,-0.0039,0.0014,0.9847,3,471,15
K-Nearest Neighbors*,raw sequence variables,fm1000,PR-AUC,0.8857,0.0452,0.005,0.8405,3,471,1
K-Nearest Neighbors*,raw sequence variables,rmin,PR-AUC,0.8857,0.0392,0.0106,0.8465,3,471,2
K-Nearest Neighbors*,raw sequence variables,bi,PR-AUC,0.8857,0.0331,0.0027,0.8526,3,471,3
K-Nearest Neighbors*,raw sequence variables,erc,PR-AUC,0.8857,0.0293,0.0125,0.8564,3,471,4
K-Nearest Neighbors*,raw sequence variables,tmmx,PR-AUC,0.8857,0.0266,0.0057,0.8591,3,471,5
K-Nearest Neighbors*,raw sequence variables,vs,PR-AUC,0.8857,0.0208,0.0084,0.8649,3,471,6
K-Nearest Neighbors*,raw sequence variables,tmmn,PR-AUC,0.8857,0.0165,0.0097,0.8692,3,471,7
K-Nearest Neighbors*,raw sequence variables,fm100,PR-AUC,0.8857,0.0156,0.0117,0.8701,3,471,8
K-Nearest Neighbors*,raw sequence variables,pr,PR-AUC,0.8857,0.0035,0.0072,0.8822,3,471,9
K-Nearest Neighbors*,raw sequence variables,rmax,PR-AUC,0.8857,0.0035,0.0102,0.8822,3,471,10
K-Nearest Neighbors*,raw sequence variables,sph,PR-AUC,0.8857,0.002,0.0114,0.8837,3,471,11
K-Nearest Neighbors*,raw sequence variables,vpd,PR-AUC,0.8857,0.0006,0.0036,0.8851,3,471,12
K-Nearest Neighbors*,raw sequence variables,etr,PR-AUC,0.8857,-0.0047,0.0057,0.8904,3,471,13
K-Nearest Neighbors*,raw sequence variables,pet,PR-AUC,0.8857,-0.0084,0.0031,0.8941,3,471,14
K-Nearest Neighbors*,raw sequence variables,srad,PR-AUC,0.8857,-0.0109,0.0029,0.8965,3,471,15
Simple-MLP*,scaled flattened sequence variables,tmmn,PR-AUC,0.9705,0.1457,0.0177,0.8248,3,471,1
Simple-MLP*,scaled flattened sequence variables,fm1000,PR-AUC,0.9705,0.0842,0.0163,0.8863,3,471,2
Simple-MLP*,scaled flattened sequence variables,erc,PR-AUC,0.9705,0.083,0.0106,0.8875,3,471,3
Simple-MLP*,scaled flattened sequence variables,bi,PR-AUC,0.9705,0.0326,0.0048,0.9378,3,471,4
Simple-MLP*,scaled flattened sequence variables,rmin,PR-AUC,0.9705,0.0208,0.0014,0.9497,3,471,5
Simple-MLP*,scaled flattened sequence variables,pr,PR-AUC,0.9705,0.0044,0.0012,0.9661,3,471,6
Simple-MLP*,scaled flattened sequence variables,fm100,PR-AUC,0.9705,0.0027,0.0004,0.9678,3,471,7
